Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_112,VGND,li1,59.8000,76.1600,0.000191
FILLER_24_100,VGND,li1,54.2800,76.1600,0.000169
FILLER_24_85,VGND,li1,44.8500,76.1600,0.000129
FILLER_24_83,VGND,li1,43.9300,76.1600,0.000121
FILLER_24_69,VGND,li1,37.9500,76.1600,0.000102
FILLER_24_61,VGND,li1,35.4200,76.1600,0.000092
FILLER_24_38,VGND,li1,23.6900,76.1600,0.000042
FILLER_24_29,VGND,li1,19.5500,76.1600,0.000042
FILLER_24_26,VGND,li1,17.9400,76.1600,0.000042
FILLER_24_11,VGND,li1,11.2700,76.1600,0.000042
FILLER_24_3,VGND,li1,8.7400,76.1600,0.000042
FILLER_23_177,VGND,li1,87.4000,76.1600,0.000274
FILLER_23_145,VGND,li1,72.9100,76.1600,0.000246
FILLER_23_137,VGND,li1,70.3800,76.1600,0.000235
FILLER_23_120,VGND,li1,61.1800,76.1600,0.000200
FILLER_23_109,VGND,li1,56.3500,76.1600,0.000180
FILLER_23_97,VGND,li1,51.0600,76.1600,0.000157
FILLER_23_87,VGND,li1,45.7700,76.1600,0.000129
FILLER_23_83,VGND,li1,43.9300,76.1600,0.000121
FILLER_23_77,VGND,li1,42.3200,76.1600,0.000121
FILLER_23_63,VGND,li1,34.7300,76.1600,0.000082
FILLER_23_57,VGND,li1,33.1200,76.1600,0.000082
FILLER_23_53,VGND,li1,30.5900,76.1600,0.000071
FILLER_23_47,VGND,li1,27.3700,76.1600,0.000052
FILLER_23_35,VGND,li1,24.3800,76.1600,0.000042
FILLER_23_25,VGND,li1,17.9400,76.1600,0.000042
FILLER_23_3,VGND,li1,7.8200,76.1600,0.000042
FILLER_22_137,VGND,li1,69.2300,70.7200,0.000000
FILLER_22_129,VGND,li1,66.7000,70.7200,0.000000
FILLER_22_121,VGND,li1,61.4100,70.7200,0.000000
FILLER_22_117,VGND,li1,60.2600,70.7200,0.000000
FILLER_22_108,VGND,li1,55.4300,70.7200,0.000000
FILLER_22_100,VGND,li1,52.2100,70.7200,0.000000
FILLER_22_80,VGND,li1,42.5500,70.7200,0.000000
FILLER_22_74,VGND,li1,40.9400,70.7200,0.000000
FILLER_22_46,VGND,li1,27.6000,70.7200,0.000000
FILLER_22_29,VGND,li1,19.3200,70.7200,0.000000
FILLER_22_25,VGND,li1,17.7100,70.7200,0.000000
FILLER_22_17,VGND,li1,15.1800,70.7200,0.000000
FILLER_22_7,VGND,li1,10.1200,70.7200,0.000000
FILLER_21_179,VGND,li1,88.3200,70.7200,0.000000
FILLER_21_166,VGND,li1,82.3400,70.7200,0.000000
FILLER_21_139,VGND,li1,69.6900,70.7200,0.000000
FILLER_21_133,VGND,li1,68.0800,70.7200,0.000000
FILLER_21_121,VGND,li1,63.9400,70.7200,0.000000
FILLER_21_105,VGND,li1,54.0500,70.7200,0.000000
FILLER_21_99,VGND,li1,52.4400,70.7200,0.000000
FILLER_21_88,VGND,li1,46.4600,70.7200,0.000000
FILLER_21_71,VGND,li1,38.8700,70.7200,0.000000
FILLER_21_57,VGND,li1,33.1200,70.7200,0.000000
FILLER_21_47,VGND,li1,27.3700,70.7200,0.000000
FILLER_21_42,VGND,li1,25.3000,70.7200,0.000000
FILLER_21_34,VGND,li1,23.0000,70.7200,0.000000
FILLER_21_24,VGND,li1,17.9400,70.7200,0.000000
FILLER_21_7,VGND,li1,10.1200,70.7200,0.000000
FILLER_20_164,VGND,li1,81.1900,65.2800,0.000203
FILLER_20_156,VGND,li1,78.2000,65.2800,0.000197
FILLER_20_149,VGND,li1,74.2900,65.2800,0.000184
FILLER_20_141,VGND,li1,72.2200,65.2800,0.000179
FILLER_20_136,VGND,li1,69.0000,65.2800,0.000164
FILLER_20_124,VGND,li1,63.2500,65.2800,0.000150
FILLER_20_112,VGND,li1,59.8000,65.2800,0.000140
FILLER_20_104,VGND,li1,53.5900,65.2800,0.000119
FILLER_20_100,VGND,li1,51.7500,65.2800,0.000113
FILLER_20_80,VGND,li1,42.5500,65.2800,0.000086
FILLER_20_72,VGND,li1,40.4800,65.2800,0.000079
FILLER_20_64,VGND,li1,35.1900,65.2800,0.000058
FILLER_20_60,VGND,li1,34.0400,65.2800,0.000058
FILLER_20_48,VGND,li1,30.3600,65.2800,0.000046
FILLER_20_42,VGND,li1,25.5300,65.2800,0.000031
FILLER_20_34,VGND,li1,23.0000,65.2800,0.000031
FILLER_20_26,VGND,li1,17.9400,65.2800,0.000031
FILLER_20_3,VGND,li1,7.1300,65.2800,0.000031
FILLER_19_183,VGND,li1,90.1600,65.2800,0.000220
FILLER_19_173,VGND,li1,85.3300,65.2800,0.000220
FILLER_19_145,VGND,li1,72.6800,65.2800,0.000179
FILLER_19_129,VGND,li1,65.0900,65.2800,0.000156
FILLER_19_121,VGND,li1,63.0200,65.2800,0.000150
FILLER_19_106,VGND,li1,55.6600,65.2800,0.000126
FILLER_19_98,VGND,li1,51.2900,65.2800,0.000113
FILLER_19_88,VGND,li1,46.6900,65.2800,0.000098
FILLER_19_77,VGND,li1,42.7800,65.2800,0.000086
FILLER_19_65,VGND,li1,38.1800,65.2800,0.000069
FILLER_19_44,VGND,li1,27.1400,65.2800,0.000037
FILLER_19_26,VGND,li1,17.7100,65.2800,0.000031
FILLER_19_22,VGND,li1,16.5600,65.2800,0.000031
FILLER_19_13,VGND,li1,12.1900,65.2800,0.000031
FILLER_19_3,VGND,li1,7.1300,65.2800,0.000031
FILLER_18_181,VGND,li1,89.7000,59.8400,0.000041
FILLER_18_159,VGND,li1,79.1200,59.8400,0.000037
FILLER_18_151,VGND,li1,75.2100,59.8400,0.000036
FILLER_18_141,VGND,li1,71.0700,59.8400,0.000032
FILLER_18_138,VGND,li1,69.4600,59.8400,0.000032
FILLER_18_124,VGND,li1,62.7900,59.8400,0.000028
FILLER_18_120,VGND,li1,61.6400,59.8400,0.000027
FILLER_18_107,VGND,li1,54.9700,59.8400,0.000023
FILLER_18_95,VGND,li1,51.9800,59.8400,0.000021
FILLER_18_90,VGND,li1,47.1500,59.8400,0.000018
FILLER_18_85,VGND,li1,45.0800,59.8400,0.000017
