net,length_um
_318_,6.32µm
_006_,6.3µm
_030_,6.3µm
_206_,6.3µm
_213_,6.3µm
net7,6.28µm
_160_,6.2µm
_145_,6.18µm
_131_,6.16µm
_235_,6.08µm
_168_,5.86µm
_218_,5.86µm
_166_,5.84µm
_296_,5.8µm
sine_out[11],5.75µm
_078_,5.72µm
_188_,5.72µm
_320_,5.72µm
_240_,5.7µm
_209_,5.68µm
_228_,5.68µm
net13,5.68µm
_205_,5.65µm
_254_,5.4µm
_094_,5.38µm
_115_,5.38µm
_305_,5.38µm
_281_,5.26µm
_290_,5.26µm
_257_,5.22µm
_336_,5.22µm
_150_,5.16µm
sine_out[3],5.07µm
sine_out[7],5.07µm
_058_,5.06µm
_283_,5.06µm
_005_,4.94µm
_227_,4.94µm
_059_,4.92µm
_113_,4.92µm
_180_,4.88µm
_300_,4.88µm
_310_,4.88µm
_109_,4.8µm
_314_,4.76µm
sine_out[8],4.73µm
_386_,4.56µm
_164_,4.495µm
_127_,4.46µm
_173_,4.46µm
_117_,4.44µm
rst,4.39µm
sine_out[10],4.39µm
sine_out[5],4.39µm
_332_,4.34µm
_068_,4.025µm
_303_,4.02µm
_095_,4µm
_136_,4µm
_140_,4µm
_143_,4µm
_285_,4µm
_064_,3.9µm
_217_,3.885µm
_199_,3.88µm
_175_,3.74µm
_097_,3.56µm
_265_,3.56µm
_273_,3.56µm
_176_,3.54µm
_181_,3.54µm
_253_,3.54µm
net8,3.54µm
_255_,3.42µm
_276_,3.42µm
_024_,3.22µm
_329_,3.22µm
_190_,3.2µm
_152_,3.1µm
_084_,3.08µm
_210_,3.08µm
_271_,3.08µm
_382_,3.08µm
net5,3.08µm
_098_,3.06µm
_154_,3.06µm
_322_,3.06µm
_170_,2.96µm
_279_,2.96µm
net15,2.96µm
net16,2.96µm
_247_,2.86µm
_118_,2.76µm
_323_,2.76µm
_002_,2.74µm
net17,2.72µm
_055_,2.645µm
_017_,2.64µm
_221_,2.64µm
_237_,2.64µm
_352_,2.64µm
_362_,2.64µm
_087_,2.62µm
_124_,2.62µm
_157_,2.62µm
_167_,2.62µm
_182_,2.62µm
_243_,2.62µm
_268_,2.62µm
_387_,2.62µm
net6,2.62µm
_299_,2.52µm
_302_,2.52µm
_011_,2.5µm
_014_,2.5µm
_256_,2.5µm
_088_,2.3µm
_114_,2.3µm
_122_,2.3µm
_153_,2.3µm
_233_,2.28µm
_012_,2.23µm
_301_,2.205µm
_125_,2.18µm
_133_,2.18µm
_137_,2.18µm
_275_,2.18µm
_046_,2.16µm
_099_,2.16µm
_110_,2.16µm
_222_,2.16µm
_230_,2.16µm
_234_,2.16µm
_266_,2.16µm
_287_,2.16µm
_293_,2.16µm
_146_,2.06µm
_171_,2.06µm
_177_,2.06µm
_333_,2.06µm
_050_,2.04µm
_119_,2.04µm
_147_,1.94µm
_004_,1.84µm
_053_,1.84µm
_056_,1.84µm
_073_,1.84µm
_248_,1.84µm
_286_,1.84µm
_316_,1.84µm
_326_,1.84µm
_187_,1.82µm
_327_,1.82µm
_224_,1.81µm
_282_,1.72µm
_169_,1.7µm
_191_,1.7µm
_231_,1.7µm
_252_,1.7µm
_269_,1.7µm
_328_,1.7µm
_211_,1.48µm
_214_,1.38µm
_219_,1.36µm
_381_,1.36µm
_077_,1.26µm
_297_,1.22µm
_365_,1.14µm
_216_,1.1µm
_081_,0.92µm
_116_,0.92µm
_201_,0.92µm
_261_,0.92µm
_378_,0.46µm
